Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5
Gut,şişme,kızarıklık,yoğun eklem ağrısı,ani sıcak basması,ağrı
İskemi,göğüs ağrısı,nefes darlığı,uyuklama,göğüste baskı,göğüs rahatsızlığı
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Hiperlipidemi,göğüs ağrısı,çarpıntı,q dalgasının varlığı,gözde ışık çakması,ter
Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi
Akut Böbrek Yetmezliği,böbrek fonksiyonunda azalma,hiperkalemi,tansiyon düşüklüğü,hipokalsemi sonucu,idrar azlığı
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Neoplazma,vücut yapısının büyümesi,doku bozukluğu,göğüs ağrısı,kanlı idrar,tümör hücresinin yayılması
Gıda Alerjisi,döküntü,kaşıntı,şişme,nefes almada zorluk,sindirim sistemi ile ilgili semptomlar
Hepatit A,hafif ateş,gözlerin sararması,kas ağrısı,eklem ağrısı,kusma
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Akciğer İltihaplanması (zatüre),öksürük,göğüs ağrısı,nefes darlığı,üşümek,yorgunluk
Tifo,karın ağrısı,üşümek,yorgunluk,yüksek ateş,kusma
Göz Nezlesi,kırmızı,kaşıntı,gözlerde sulanma,,
Bilinç Bulanıklığı,nöbet geçirmek,idrar tutamama,rehavet,konuşma bozukluğu,düşmek
Nöropati,bitkinlik,uyuşukluk ve hissizlik,mide bulantısı ve kusma,erken uyanmak,plevral boşluğun hava ve sıvı ile dolması
Göz Nezlesi,kırmızı,kaşıntı,gözlerde sulanma,,
Psikotik Bozukluk,intihara meyilli,işitsel halüsinasyonlar,intihara meyilli hissetmek,görsel halüsinasyonlar,motor kaslarda yavaşlama
Geçici İskemik Atak,konuşma bozukluğu,dizartri,kısmi yüz felci,bitkinlik,boyun tutulması
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Sanrı,bilinç kaybı,değişken ruh hali,umutsuz hissetmek,ajitasyon,işitsel halüsinasyonlar
Testis Kanseri,testislerde şişlik veya yumru,ağrı veya rahatsızlık,testis boyutunda veya şeklinde değişiklikler,,
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
B12 Vitamini Eksikliği,yorgunluk,zayıflık,soluk cilt,nefes darlığı,ellerde ve ayaklarda karıncalanma veya uyuşma
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma
Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Kemik Erimesi,prostatizm,düşmek,aşırı kıllılık,burnunu çekmek,karın şişmesi
Bağırsak Malabsorbsiyonu,kronik ishal,kilo kaybı,karın ağrısı,karın şişkinliği,yorgunluk
Pyelonefrit,ateş,üşümek,ağrı,idrar tutamama,kanlı idrar
Kalp Hastalığı,göğüs ağrısı,nefes darlığı,yorgunluk,baş dönmesi,bayılma
Kovid,yorgunluk,yüksek ateş,öksürük,tat kaybı,koku kaybı
Adhezyon,şişkinlik,ağrı,doğacak büyüklüğe ulaşmış fetüs,para test 1,kusma
Aspirasyon Pnömonisi,mediastinal kayma,ateş,kasların hızlı kasılıp gevşemesi,ruhsal durum değişiklikleri,yarı saydamlığın azalması
A Vitamini Eksikliği,gece körlüğü,kuru gözler,kuru veya pürüzlü cilt,zayıf yara iyileşmesi,zayıf bağışıklık
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
A Vitamini Eksikliği,gece körlüğü,kuru gözler,kuru veya pürüzlü cilt,zayıf yara iyileşmesi,zayıf bağışıklık
Bilinç Bulanıklığı,nöbet geçirmek,idrar tutamama,rehavet,konuşma bozukluğu,düşmek
Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,yorgunluk,eforla nefes darlığı,pansistolik üfürüm
Romatizmal Eklem İltihabı,ağrı,şişme,eklemlerde kısıtlılık,,
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,yorgunluk,eforla nefes darlığı,pansistolik üfürüm
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Dang Humması,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı
Kolit,ateş,kalınlaşmak,yeşil balgam,kusma,mide bulantısı ve kusma
Nezle,ateş,öksürük,boğaz ağrısı,burun akıntısı veya tıkalı burun,kas ağrıları
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Mantar Enfeksiyonu,kaşıntı,deri döküntüsü,bezeli cilt döküntüleri,diskromik yamalar,diskromik yaralar
Kalp Krizi,kusma,nefes darlığı,terlemek,göğüs ağrısı,mide bulantısı
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
İdrar Taşları,şiddetli karın veya sırt ağrısı,idrarda kan,sık idrara çıkma,idrara çıkma sırasında ağrı,
Hiperglisemi,dokununca acıma,kaşıntı,garip hissetmek,püstül,omuz ve yüz arasında pembe ve mor noktalar
Karsinom,vücut yapısının büyümesi,ağrı,doku bozukluğu,tümör hücresinin yayılması,kalınlaşmak
Ülseratif Kolit,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Derin Toplar Damar Pıhtılaşması,şişme,ağrı,ezik,nefes darlığı,alt uzuvlarda ağrı
Melanom,vücut yapısının büyümesi,kısmi felç,ateş,gravida 0,ağrı
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar
Hiperlipidemi,göğüs ağrısı,çarpıntı,q dalgasının varlığı,gözde ışık çakması,ter
Grip,ateş,boğaz ağrısı,baş ağrısı,öksürük,burun akıntısı veya tıkalı burun
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Fibromiyalji,geniş alana yayılmış ağrı,yorgunluk,hassasiyet,,
Kas Spazmı,ani kasılma,istemsiz kas kasılmaları,kas ağrısı,sertlik,sınırlı hareket açıklığı
Varisli Damarlar,yorgunluk,kramplar,morarma,obezite,şişmiş bacaklar
Hipoglisemi,aşırı açlık,konuşma bozukluğu,sinirlilik,çarpıntı hissi,kusma
Paroksismal Pozisyonel Vertigo,kusma,baş ağrısı,mide bulantısı,dönme hareketleri,denge kaybı
Egzama,kaşıntı,iltihaplı cilt,döküntü,,
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Dang Humması,baş ağrısı,mide bulantısı,iştah kaybı,gözlerin arkasındaki ağrı,sırt ağrısı
Triküspit Kapak Yetmezliği,nefes darlığı,ağrı,kusma,mide bulantısı,düşük nabız
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Adenovirüs,ateş,boğaz ağrısı,öksürük,göz nezlesi veya iltihabı,döküntü
Ependimom,baş ağrısı,mide bulantısı,nöbetler,dengeyi kaybı,
Lenfoma,doku bozukluğu,ateş,şerit,morarma,vücut ağırlığının azalması
Migren,şiddetli baş ağrısı, mide bulantısı, kusma, ışığa duyarlılık, sese duyarlılık
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Depresyon,üzüntü,umutsuzluk,aktivitelere ilgi kaybı,iştahtaki değişiklikler,uyumak
Grip,ateş,boğaz ağrısı,baş ağrısı,öksürük,burun akıntısı veya tıkalı burun
Triküspit Kapak Yetmezliği,nefes darlığı,ağrı,kusma,mide bulantısı,düşük nabız
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma
Gıda Alerjisi,döküntü,kaşıntı,şişme,nefes almada zorluk,sindirim sistemi ile ilgili semptomlar
Siroz,karın şişmesi,yorgunluk,sarılık,kolay morarma ve kanama,bilinç bulanıklığı
Kronik Obstrüktif Akciğer Hastalığı,nefes darlığı,hırıltı,öksürük,solunumda zayıflık,iltihaplı balgam
Soğuk Algınlığı,burun akması,tıkanıklık,öksürük,balgam,boğaz tahrişi
Madde Bağımlılığı,sakinlik (ilaçla yatıştırma),uyuklama,konuşma bozukluğu,bilinç bulanıklığı,solunum sıkıntısı
Tiroid Kanseri,boyundaki yumru,ses kısıklığı,yorgunluk,kilo kaybı,açıklanamayan ısı intoleransı
Kişilik Bozukluğu,kabus,umutsuz hissetmek,transeksüel,işitsel halüsinasyonlar,sinirli ruh hali
Bilinç Bulanıklığı,nöbet geçirmek,idrar tutamama,rehavet,konuşma bozukluğu,düşmek
Ereksiyon Bozukluğu,erekte olamama,ereksiyon olma,,,
Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,
Alerjik Rinit,burun akması,hapşırma,gözlerde kaşıntı,burun kaşıntısı,boğaz
Lenfoma,doku bozukluğu,ateş,şerit,morarma,vücut ağırlığının azalması
Hemartroz,eklem şişmesi,ağrı,sıcaklık,sınırlı hareket açıklığı,
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Siringomiyeli,kas güçsüzlüğü,duyu kaybı,kronik ağrı,,
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı
Adenokarsinom,vücut yapısının büyümesi,doku bozukluğu,vücut ağırlığının azalması,kabızlık,hırıltı
Asperger Sendromu,sosyal etkileşimde zorluk,tekrarlayan davranışlar,dikkat dağınıklığı,,
Akut Apandisit,sağ alt karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Kemik Erimesi,prostatizm,düşmek,aşırı kıllılık,burnunu çekmek,karın şişmesi
Demans,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,ateş
Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,
Sarılık,kaşıntı,kusma,yorgunluk,kilo kaybı,yüksek ateş
Miyokardiyal Enfarktüs,göğüs ağrısı,nefes darlığı,st segment yükselmesi,ter,st segment depresyonu
Pnömokistik Carinii Pnömoni,kuru öksürük,sarı balgam,kansızlık ve kilo kaybı,üşümek,vücut ağırlığının azalması
Kolit,ateş,kalınlaşmak,yeşil balgam,kusma,mide bulantısı ve kusma
Prostat Malign Neoplazmı,kanlı idrar,dokunma duyusu ve ağrı hissi bozukluğu,bitkinlik,birden fazla kasta ağrı,taş düşürmek
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Hepatit D,eklem ağrısı,kusma,yorgunluk,sarımsı cilt,koyu idrar
Hepatit E,iştah kaybı,karın ağrısı,gözlerin sararması,koma,mide kanaması
Fibroid Tümör,kanama,kürtaj,iki adet dönemi arası aşırı kanama,kas azalması,önceki gebelikler
Grip,ateş,boğaz ağrısı,baş ağrısı,öksürük,burun akıntısı veya tıkalı burun
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Kronik Sinüzit,yüz ağrısı veya basıncı,burun tıkanıklığı,koyu burun akıntısı,geniz akıntısı,öksürük
Hipertansif Hastalık,göğüs ağrısı,nefes darlığı,baş dönmesi,bitkinlik,düşmek
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı
Pankreatit,kusma,karın ağrısı,mide bulantısı,ağrı,ishal
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Pnömokistik Carinii Pnömoni,kuru öksürük,sarı balgam,kansızlık ve kilo kaybı,üşümek,vücut ağırlığının azalması
Grip,ateş,boğaz ağrısı,baş ağrısı,öksürük,burun akıntısı veya tıkalı burun
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
Prostat Kanseri,idrar yapma zorluğu,idrarda kan,sırtta veya kalçada ağrı,ereksiyon bozukluğu,
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
Soğuk Algınlığı,burun akması,tıkanıklık,öksürük,balgam,boğaz tahrişi
Gastroözofajeal Reflü Hastalığı,ağrı,göğüs ağrısı,yanma hissi,kanda sodyum azlığı,erken doyma hissi
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Akne,deri döküntüsü,irin dolu sivilceler,siyah noktalar,yayılması,
Felç,ani güç kaybı,vücudun bir tarafında uyuşukluk,bilinç bulanıklığı,konuşma zorluğu,tek gözde görme sorunu
Kronik Alkol Zehirlenmesi,titreme,işitsel halüsinasyonlar,intihara meyilli,zula,sinirli ruh hali
Saçkıran,saç dökülmesi veya kellik,düzensiz veya genelleştirilmiş saç dökülmesi,,,
Belsoğukluğu,ağrılı idrar yapma,cinsel organlardan anormal akıntı,pelvik ağrısı,,
İdrar Yolu Enfeksiyonu,idrar yaparken yanma,mesane rahatsızlığı,idrarın kötü kokusu,sürekli idrar hissi,ağrılı idrar yapma
Bakteriyemi,ateş,üşümek,kızarma,tepkisizlik,kayıtsız ruh hali
Geçici İskemik Atak,konuşma bozukluğu,dizartri,kısmi yüz felci,bitkinlik,boyun tutulması
Peptik Ülser,karın ağrısı,kısmi felç,mide bulantısı,kusma,birden fazla kasta ağrı
Osteoartrit,eklem ağrısı,boyun ağrısı,diz ağrısı,kalça eklemi ağrısı,eklemlerin şişmesi
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Orak Hücre Anemisi,ani ağrı,sırt ağrısı,ağrı,nefes darlığı,nezle
Rahim Ağzı Kanseri,anormal pap testi sonuçları,anormal vajinal kanama,seks sırasında ağrı,,
Kalp Yetmezliği,nefes darlığı,dik durma haricinde nefes darlığı,yorgunluk,eforla nefes darlığı,pansistolik üfürüm
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması
Mide Kanseri,üst karın bölgesinde ağrı,hazımsızlık,mide bulantısı,kusma,kilo kaybı
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Meme Kanseri,göğüste yumru,meme büyüklüğünde veya şeklinde değişiklikler,meme ucunda değişiklikler,meme ağrısı,
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Hemoroid,kanama,azalan bağırsak sesleri,dışkı miktarında azalma,mide bulantısı ve kusma,açlık
Hemartroz,eklem şişmesi,ağrı,sıcaklık,sınırlı hareket açıklığı,
Kötü Huylu Kolon Tümörü,doku bozukluğu,prostatizm,kabızlık,genel rahatsızlık,ishal
Siğiller,kabarık,ciltte pütürlü ve sert büyümeler,,,
Suçiçeği,yorgunluk,baş ağrısı,keyifsizlik,vücutta kırmızı lekeler,kaşıntı
Pulmoner Hipertansiyon,nefes darlığı,korneada demir birikimi çizgisi,bacakların ağırlaşması,solunum sesi azalması,boyun tutulması
Ruhsal Depresyon,intihara meyilli hissetmek,intihara meyilli,işitsel halüsinasyonlar,umutsuz hissetmek,ağlamak
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,kanlı dışkı
Göz Kapağı Kisti,göz kapağında ağrılı yumru veya şişlik,kızarıklık,hassasiyet,,
Sinüs Taşikardisi,sol atriyal hipertrofi,ter,alkol bağımlılığı,göğüste baskı,yara dokusu
Hipotiroidizm,yorgunluk,kilo almak,tiroid genişlemesi,kırılgan tırnaklar,şişmiş eller ve ayaklar
Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi
Dimorfik Hemoroid,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,anüs tahrişi,kanlı dışkı
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı
Hemartroz,eklem şişmesi,ağrı,sıcaklık,sınırlı hareket açıklığı,
Soğuk Algınlığı,burun akması,tıkanıklık,öksürük,balgam,boğaz tahrişi
Paroksismal Dispne,nefes darlığı,dik durma haricinde nefes darlığı,eforla nefes darlığı,juguler venöz dolgunluk,solunumda hırıltı
Deliryum,dengesiz yürüyüş,içine kapanmak,kanda sodyum azlığı,sözlü taciz edici davranış,intihara meyilli hissetmek
Lenf Hastalıkları,ağrı,vücut yapısının büyümesi,gece terlemesi,dalak büyümesi,doku bozukluğu
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Kolelityaz,kusma,mide bulantısı,karın ağrısı,ağrı,omuz ve yüz arasında pembe ve mor noktalar
Gastroenterit,kusma,ishal,çökmüş gözler,dehidrasyon,mide bulantısı
Kronik Hastalık Anemisi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,egzersiz toleransının azalması
Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Burun Bozukluğu,burun tıkanıklığı,burun akması,hapşırma,yüz ağrısı veya basıncı,koku kaybı
Gut,şişme,kızarıklık,yoğun eklem ağrısı,ani sıcak basması,ağrı
Safra Taşları,sağ üst karın bölgesinde ağrı,mide bulantısı,kusma,ateş,
Parkinson Hastalığı,sertlik,ellerde titremek,yavaş hareket,dengede zorluk,hareket yavaşlığı
Bakteriyemi,ateş,üşümek,kızarma,tepkisizlik,kayıtsız ruh hali
Hemolitik Anemi,yorgunluk,zayıflık,soluk cilt,nefes darlığı,sarılık
Servikal Spondiloz,sırt ağrısı,uzuvlarda zayıflık,boyun ağrısı,baş dönmesi,denge kaybı
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Enfeksiyon,ateş,deri kızarıklığı,yarı saydamlığın azalması,karaciğer ve dalak büyümesi,üşümek
Manik Bozukluk,intihara meyilli,intihara meyilli hissetmek,artan enerji,aşırı uyku,beyazlama
Gıda Zehirlenmesi,mide bulantısı,kusma,ishal,karın krampları,
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Uçuk,dudaklarda veya ağız çevresinde küçük ve ağrılı kabarcıklar,,,,
Sinüs Taşikardisi,sol atriyal hipertrofi,ter,alkol bağımlılığı,göğüste baskı,yara dokusu
Aşırı Sıvı Yüklenmesi,solunumda hırıltı,juguler venöz dolgunluk,hiperkalemi,dik durma haricinde nefes darlığı,nefes darlığı
Yutma Bozukluğu,dokunma hissinde bozukluklar,sendeleyerek yürümek,dizartri,ağrılı yutma,ses kısıklığı
Güneşe Maruz Kalmaya Bağlı Dermatit,döküntü gibi güneş yanığı,kızarıklık,kaşıntı,,
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Kas Spazmı,ani kasılma,istemsiz kas kasılmaları,kas ağrısı,sertlik,sınırlı hareket açıklığı
Triküspit Kapak Yetmezliği,nefes darlığı,ağrı,kusma,mide bulantısı,düşük nabız
Duygu Değişimi,aşırı yorgunluk,uykusuzluk,idrar tutamama,hastanın karşı gelmesi,umutsuz hissetmek
Faranjit,şiddetli boğaz ağrısı,yutma güçlüğü,ateş,şişmiş bademcikler,ses değişiklikleri
Kazanılmış Bağışıklık Sendromu,ateş,gece terlemesi,membranların kendiliğinden yırtılması,öksürük,vücut ağırlığının azalması
Göz Kapağı Kisti,göz kapağında ağrılı yumru veya şişlik,kızarıklık,hassasiyet,,
Siringomiyeli,kas güçsüzlüğü,duyu kaybı,kronik ağrı,,
Siyatik,bel ağrısı,bacak ağrısı,uyuşma veya karıncalanma,,
Alzheimer Hastalığı,hafıza kaybı,bilinç bulanıklığı,düşünme zorluğu,kişilik veya davranıştaki değişiklikler,salya
Alkolik Hepatit,kusma,sarımsı cilt,karın ağrısı,mide şişmesi,karın şişliği
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma
Hemiparezi,felç,dizartri,bitkinlik,yutma güçlüğü,nöbet geçirmek
Epilepsi,kas seğirmesi,nöbet geçirmek,metabolizmanın yavaş çalışması,duyuları etklieyen belirti,uyuklama
Tüberküloz,göğüs ağrısı,yorgunluk,kilo kaybı,iştah kaybı,hafif ateş
Pansitopeni,kanda protein eksikliği,yorgunluk,kanama,çabuk yorulma,omuz ve yüz arasında pembe ve mor noktalar
Pnömokistik Carinii Pnömoni,kuru öksürük,sarı balgam,kansızlık ve kilo kaybı,üşümek,vücut ağırlığının azalması
Akciğer Kanseri,geçmeyen öksürük,nefes darlığı,göğüs ağrısı,açıklanamayan kilo kaybı,yorgunluk
Hemoroid,kanama,azalan bağırsak sesleri,dışkı miktarında azalma,mide bulantısı ve kusma,açlık
Kuduz,ateş,baş ağrısı,yutma güçlüğü,kas ağrıları,ısırık yerinde karıncalanma
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Tümör Metastazı,kalınlaşmak,tümör hücresinin yayılması,metastatik doku bozukluğu,boyun ağrısı,akciğer nodülü
Balanit,penis ucunun iltihaplanması,kızarıklık,şişme,ağrı,
Kolit,ateş,kalınlaşmak,yeşil balgam,kusma,mide bulantısı ve kusma
A Vitamini Eksikliği,gece körlüğü,kuru gözler,kuru veya pürüzlü cilt,zayıf yara iyileşmesi,zayıf bağışıklık
Graves Hastalığı,hipertiroidizm,aşırı aktif olan tiroit,,,
Gastrit,hem pozitif,karın ağrısı,kusma,dengesizlik,mide bulantısı
Akciğer Ödemi,nefes darlığı,idrar tutamama,solunumda hırıltı,çok hızlı solunum,dik durma haricinde nefes darlığı
Selülit,deri kızarıklığı,ağrı,şişme,kızarıklık,ateş
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Ensefalopati,düzensizlik,asteriksi,kanama,uyuklama,duruş
Kronik Alkol Zehirlenmesi,titreme,işitsel halüsinasyonlar,intihara meyilli,zula,sinirli ruh hali
Bipolar Bozukluk,aşırı ruh hali değişimleri,manito depresyonu,intihara meyilli hissetmek,artan enerji,intihara meyilli
Tip 1 Diyabet,sık idrara çıkma,artan susuzluk,kilo kaybı,,
Hiyatus Hernisi,karın ağrısı,çabuk yorulma,ön belirti,kusma,mide bulantısı
Nötropeni,morarma,dalak büyümesi,gece terlemesi,düşük ateş,doku bozukluğu
Perikardiyal Efüzyon,nefes darlığı,perikardiyal sürtünme,hemodinamik olarak stabil,kalp büyümesi,tansiyon düşüklüğü
Kemik Erimesi,prostatizm,düşmek,aşırı kıllılık,burnunu çekmek,karın şişmesi
Antidepresanlara Bağlı Zehirlenme,mide bulantısı,kusma,uyuklama,baş dönmesi,bilinç bulanıklığı
Kazanılmış Bağışıklık Sendromu,ateş,gece terlemesi,membranların kendiliğinden yırtılması,öksürük,vücut ağırlığının azalması
Tonik-Klonik Epilepsi,kas seğirmesi,uyuklama,dudak şapırdatma,titreme,yüksek ve kendi sesine duyulan korku
Trombüs,hamlık,anoreksiya,hipertoniklik (kasların aşırı kasılması),nefes darlığı,hipoalbüminemi
Crohn Hastalığı,ishal,kanlı dışkı,karın ağrısı,kilo kaybı,
Sedef Hastalığı,deri döküntüsü,eklem ağrısı,cilt soyulması,gümüş renkli toz,tırnaklarda küçük ezikler
Astım,hırıltı,nefes darlığı,göğüste sıkışma,öksürme,öksürük
Kronik Böbrek Yetmezliği,kusma,dik durma haricinde nefes darlığı,hiperkalemi,idrar azlığı,juguler venöz dolgunluk
Alerji,sürekli hapşırmak,titremek,üşümek,gözlerde sulanma,
Kolesistit,karın ağrısı,inilti,mide bulantısı,murphy belirtisi,şişkinlik
Kişilik Bozukluğu,kabus,umutsuz hissetmek,transeksüel,işitsel halüsinasyonlar,sinirli ruh hali
Dimorfik Hemoroit,kabızlık,dışkı sırasında ağrı,anal bölgede ağrı,kanlı dışkı,anüs tahrişi
Anksiyete,aşırı endişe,huzursuzluk,artan kalp atış hızı,panik ataklar,endişelenmek
Karsinom,vücut yapısının büyümesi,ağrı,doku bozukluğu,tümör hücresinin yayılması,kalınlaşmak
Lösemi,yorgunluk,soluk cilt,sık enfeksiyonlar,kolay kanama veya morarma,
Mitral Kapak Yetmezliği,nefes darlığı,eforla nefes darlığı,semptom vermeyen,hamlık,baygınlık
Divertiküloz,dışkının idrarda bulunması,kabızlık,bakterital apse,hem pozitif,denge kaybı
Migren,şiddetli baş ağrısı, mide bulantısı, kusma, ışığa duyarlılık, sese duyarlılık
Toksine Bağlı Hepatit,yorgunluk,sarılık,karın ağrısı,mide bulantısı,kusma
Magnezyum Eksikliği,kas kasılmaları,kas krampları,yorgunluk,zayıflık,iştah kaybı
Deliryum,dengesiz yürüyüş,içine kapanmak,kanda sodyum azlığı,sözlü taciz edici davranış,intihara meyilli hissetmek
Menenjit,ateş,baş ağrısı,boyun tutulması,mide bulantısı,kusma
Deliryum,dengesiz yürüyüş,içine kapanmak,kanda sodyum azlığı,sözlü taciz edici davranış,intihara meyilli hissetmek
İdrar Kaçırma,kısmi felç,nöbet geçirmek,bitkinlik,idrar kaçırma hissi,bilinçsiz durum
Pyelonefrit,ateş,üşümek,ağrı,idrar tutamama,kanlı idrar
Lenfoma,doku bozukluğu,ateş,şerit,morarma,vücut ağırlığının azalması
Kovid,yorgunluk,yüksek ateş,öksürük,tat kaybı,koku kaybı
Pnömotoraks,nefes darlığı,kardiyovasküler bulgu,kanlı balgam veya kan tükürme,öksürük,karbondioksit zehirlenmesi
Gastroenterit,kusma,ishal,çökmüş gözler,dehidrasyon,mide bulantısı
Yutma Bozukluğu,dokunma hissinde bozukluklar,sendeleyerek yürümek,dizartri,ağrılı yutma,ses kısıklığı
İlaç Reaksiyonu,kaşıntı,deri döküntüsü,karın ağrısı,idrar yaparken yanma,lekeli idrar
Hashimoto Tiroiditi,hipotiroidizm,yetersiz olan bir tiroit,,,
Afazi,kasların hızlı kasılıp gevşemesi,egofoni,kısmi yüz felci,yutma güçlüğü,kas seğirmesi
Bipolar Bozukluk,aşırı ruh hali değişimleri,manito depresyonu,intihara meyilli hissetmek,artan enerji,intihara meyilli
